epoch, 0, r2, -4449.960005008183, mae, 69346.99543531296, mse, 870374042805.6752, nmse, 33536.8203125
epoch, 1, r2, -0.04324121296396187, mae, 5094.55417468895, mse, 2324349028.2491093, nmse, 89.56066131591797
epoch, 2, r2, -0.0432392657702947, mae, 5094.527536427047, mse, 2324348777.9518614, nmse, 89.5606460571289
epoch, 3, r2, -0.04323673623447562, mae, 5094.492878017303, mse, 2324348438.6372466, nmse, 89.56063842773438
epoch, 4, r2, -0.04323360121349965, mae, 5094.449856960773, mse, 2324347984.9937654, nmse, 89.56061553955078
epoch, 5, r2, -0.043229861294693694, mae, 5094.398436880146, mse, 2324347473.566728, nmse, 89.56060028076172
epoch, 6, r2, -0.04322546618172965, mae, 5094.338023085737, mse, 2324346904.6609993, nmse, 89.56057739257812
epoch, 7, r2, -0.043220364566198724, mae, 5094.268013405894, mse, 2324346200.532429, nmse, 89.560546875
epoch, 8, r2, -0.043214506747062245, mae, 5094.187363815837, mse, 2324345397.0670476, nmse, 89.5605239868164
epoch, 9, r2, -0.04320781130938787, mae, 5094.095111512844, mse, 2324344486.4073257, nmse, 89.56049346923828
epoch, 10, r2, -0.043200189469837884, mae, 5093.990154880634, mse, 2324343428.793655, nmse, 89.5604476928711
epoch, 11, r2, -0.04319154908317512, mae, 5093.871052078311, mse, 2324342061.593164, nmse, 89.56039428710938
epoch, 12, r2, -0.04318178248948425, mae, 5093.736362190881, mse, 2324340720.867564, nmse, 89.56034088134766
epoch, 13, r2, -0.04317076150715512, mae, 5093.58431033943, mse, 2324339230.1153193, nmse, 89.5602798461914
epoch, 14, r2, -0.04315834657998946, mae, 5093.415529979666, mse, 2324337532.8025255, nmse, 89.56021118164062
epoch, 15, r2, -0.043144387315755414, mae, 5093.254830420228, mse, 2324335558.9441037, nmse, 89.56014251708984
epoch, 16, r2, -0.04312872596717559, mae, 5093.08288684572, mse, 2324333418.3486595, nmse, 89.56005859375
epoch, 17, r2, -0.04311115423869332, mae, 5092.8898407165625, mse, 2324330832.6002297, nmse, 89.5599594116211
epoch, 18, r2, -0.0430914770759872, mae, 5092.673936818253, mse, 2324328091.8502884, nmse, 89.55986022949219
epoch, 19, r2, -0.04306946627468389, mae, 5092.461540190736, mse, 2324325046.04879, nmse, 89.55973815917969
epoch, 20, r2, -0.04304489387744823, mae, 5092.240721914732, mse, 2324321430.4250703, nmse, 89.55960083007812
epoch, 21, r2, -0.04301749503203472, mae, 5091.995907842426, mse, 2324317686.524414, nmse, 89.55945587158203
epoch, 22, r2, -0.04298699319147681, mae, 5091.745315062549, mse, 2324313443.311341, nmse, 89.55928802490234
epoch, 23, r2, -0.04295313068285375, mae, 5091.474354806326, mse, 2324308466.530786, nmse, 89.55909729003906
epoch, 24, r2, -0.042915610735324794, mae, 5091.19904958567, mse, 2324303257.930125, nmse, 89.55889892578125
epoch, 25, r2, -0.04287417252781898, mae, 5090.910649676596, mse, 2324297239.636893, nmse, 89.55866241455078
epoch, 26, r2, -0.042828545209941886, mae, 5090.613890863731, mse, 2324290551.381202, nmse, 89.55841064453125
epoch, 27, r2, -0.042778525486146746, mae, 5090.307792510997, mse, 2324283517.9573593, nmse, 89.55813598632812
epoch, 28, r2, -0.042723912676556036, mae, 5089.997676490139, mse, 2324275508.520645, nmse, 89.55783081054688
epoch, 29, r2, -0.0426646089073046, mae, 5089.680624926616, mse, 2324266768.993257, nmse, 89.5574951171875
epoch, 30, r2, -0.0426005570241186, mae, 5089.365121711731, mse, 2324257366.3951044, nmse, 89.55712890625
epoch, 31, r2, -0.042531820629021944, mae, 5089.05058648722, mse, 2324247239.1223207, nmse, 89.5567398071289
epoch, 32, r2, -0.0424585395060512, mae, 5088.746624642032, mse, 2324236426.621322, nmse, 89.55632781982422
epoch, 33, r2, -0.04238096564857946, mae, 5088.451205437303, mse, 2324224842.419647, nmse, 89.55587768554688
epoch, 34, r2, -0.04229942018944383, mae, 5088.172392505, mse, 2324212597.766989, nmse, 89.55540466308594
epoch, 35, r2, -0.04221429919702634, mae, 5087.906301469817, mse, 2324199557.5406957, nmse, 89.5549087524414
epoch, 36, r2, -0.04212606925797375, mae, 5087.658304483755, mse, 2324186162.3990006, nmse, 89.55438232421875
epoch, 37, r2, -0.042035198049265775, mae, 5087.429503289674, mse, 2324172044.1693077, nmse, 89.55384063720703
epoch, 38, r2, -0.04194217163879393, mae, 5087.220947777144, mse, 2324157495.3397727, nmse, 89.55328369140625
epoch, 39, r2, -0.04184746153211967, mae, 5087.03610318618, mse, 2324142788.317498, nmse, 89.55271911621094
epoch, 40, r2, -0.04175149442338995, mae, 5086.881871547392, mse, 2324127486.7446384, nmse, 89.5521240234375
epoch, 41, r2, -0.041654670623373, mae, 5086.749624365334, mse, 2324112081.216417, nmse, 89.5515365600586
epoch, 42, r2, -0.04155733941776837, mae, 5086.641597538601, mse, 2324096341.0028667, nmse, 89.5509262084961
